=== D1 : 텍스트가 든 파일 62개
    /BTL_D2.PRG               382372B  문자열    45 / 글자    354
    /BTL_A3_2.PRG             387420B  문자열    41 / 글자    384
    /BTL_A5_3.PRG             365904B  문자열    41 / 글자    359
    /FLD_C2.PRG               256900B  문자열    39 / 글자    484
    /BTL_D4.PRG               368496B  문자열    38 / 글자    303
    /BTL_B5_3.PRG             388656B  문자열    36 / 글자    281
    /BTL_A3.PRG               385036B  문자열    36 / 글자    281
    /BTL_B5_2.PRG             413708B  문자열    33 / 글자    263
    /TWN_RUIN.PRG              51429B  문자열    30 / 글자    375
    /1ST_READ.PRG             253646B  문자열    30 / 글자    248
    /FLD_D3.PRG               231404B  문자열    29 / 글자    354
    /FLD_D5.PRG               165940B  문자열    29 / 글자    328
    /WORLD.PRG                 23824B  문자열    14 / 글자     93
    /E059.EPK                3070180B  문자열     5 / 글자     46
    /TWN_JIRI.PRG              49013B  문자열     4 / 글자     48
    /TWN_E059.PRG              72377B  문자열     4 / 글자     48
    /TWN_E057.PRG              65125B  문자열     4 / 글자     48
=== D3 : 텍스트가 든 파일 62개
    확장자별: {'PRG': 52, 'EPK': 7, 'DAT': 2, 'BIN': 1}
    /TWN_ZOAH.PRG             406945B  문자열  3121 / 글자  35182
    /TWN_SEEK.PRG             191917B  문자열  1363 / 글자  13338
    /TWN_CARA.PRG             205021B  문자열   816 / 글자  11117
    /MOVIE.DAT                 22716B  문자열   657 / 글자   7312
    /TWN_CAMP.PRG             175305B  문자열   591 / 글자   7150
    /MENUEN.PRG                46492B  문자열   286 / 글자   2360
    /FLD_C8.PRG               410164B  문자열   276 / 글자   3351
    /FLD_B6.PRG               275624B  문자열   200 / 글자   2523
    /MENUBK.BIN                32384B  문자열   197 / 글자   2221
    /FLD_B5.PRG               278940B  문자열   172 / 글자   2402
    /COMMON.DAT               132708B  문자열   146 / 글자   1751
    /FLAGEDIT.PRG               6548B  문자열   117 / 글자   1407
    /FLD_A5.PRG               308916B  문자열   116 / 글자   1260
    /FLD_A3.PRG               269516B  문자열   106 / 글자   1273
    /FLD_A7.PRG               216924B  문자열   106 / 글자   1205
    /BTL_T0.PRG               394528B  문자열   104 / 글자   1033
    /FLD_C4.PRG               309528B  문자열    89 / 글자   1071
    /BTL_C2.PRG               412544B  문자열    83 / 글자    847
    /BTL_D5.PRG               450592B  문자열    78 / 글자    649
    /BTL_X0.PRG               446112B  문자열    74 / 글자    635
    /BTL_B6.PRG               424188B  문자열    68 / 글자    619
    /BTL_B5.PRG               396872B  문자열    65 / 글자    598
    /BTL_B2.PRG               368656B  문자열    63 / 글자    633
    /BTL_C5.PRG               377392B  문자열    63 / 글자    629
