file	offset	len
BTL_A3_2.PRG	057D98	13
BTL_A3_2.PRG	057DA5	13
BTL_A3_2.PRG	057DB2	15
BTL_A3_2.PRG	057DC1	17
BTL_A3_2.PRG	057DD2	9
BTL_A3_2.PRG	057DDB	17
BTL_A3_2.PRG	057DEC	11
BTL_A3_2.PRG	057DF7	9
BTL_A3_2.PRG	057E00	11
BTL_A3_2.PRG	057E0B	9
BTL_A3_2.PRG	057E14	5
BTL_A3_2.PRG	057E19	23
BTL_A3_2.PRG	057E30	25
BTL_A3_2.PRG	057E49	17
BTL_A3_2.PRG	057E5A	27
BTL_A3_2.PRG	057E75	13
BTL_A3_2.PRG	057E82	29
BTL_A3_2.PRG	057E9F	7
BTL_A3_2.PRG	057EA6	11
BTL_A3_2.PRG	057EB1	23
BTL_A3_2.PRG	057EC8	25
BTL_A3_2.PRG	057EE1	21
BTL_A3_2.PRG	057EF6	33
BTL_A3_2.PRG	057F17	21
BTL_A3_2.PRG	057F2C	29
BTL_A3_2.PRG	057F49	23
BTL_A3_2.PRG	057F60	27
BTL_A3_2.PRG	057F7B	19
BTL_A3_2.PRG	057F8E	19
BTL_A5.PRG	02D71E	25
BTL_A5.PRG	02D737	10
BTL_A5.PRG	02D74C	12
BTL_A5.PRG	02D758	30
BTL_A5.PRG	02D776	23
BTL_A5.PRG	02D78D	9
BTL_A5.PRG	02D796	21
BTL_A5.PRG	02D7AB	14
BTL_A5.PRG	04F91F	3
BTL_A5.PRG	057C0C	7
BTL_A5.PRG	057C13	5
BTL_A5.PRG	057C18	7
BTL_A5.PRG	057C1F	5
BTL_A5.PRG	057C24	29
BTL_A5.PRG	057C41	39
BTL_A5.PRG	057C68	11
BTL_A5.PRG	057C73	7
BTL_A5.PRG	057C7A	9
BTL_A5.PRG	057C83	21
BTL_A5.PRG	057C98	5
BTL_A5.PRG	057C9D	7
BTL_A5.PRG	057CA4	9
BTL_A5.PRG	057CAD	19
BTL_A5.PRG	057CC0	9
BTL_A5.PRG	057CC9	3
BTL_A5.PRG	057CCC	27
BTL_A5.PRG	057CE7	33
BTL_A5.PRG	057D08	5
BTL_A5.PRG	057D0D	5
BTL_A5.PRG	057D12	3
BTL_A5.PRG	057D15	5
BTL_A5.PRG	057D1A	13
BTL_A5.PRG	057D27	37
BTL_A5.PRG	057D4C	17
BTL_A5.PRG	057D5D	9
BTL_A5.PRG	057D66	9
BTL_A5.PRG	057D6F	7
BTL_A5.PRG	05F5D8	15
BTL_A5.PRG	05F5E7	13
BTL_A5.PRG	05F5F4	17
BTL_A5.PRG	05F605	17
BTL_A5.PRG	05F616	9
